ResponseID,Score,Angular,Base,Batch,Sear,Soap,Web,Other,R_Angular,R_Base,R_Batch,R_Sear,R_Soap,R_Web,Satisfaction,Value,Usability,Upgrades,Support,Documentation
12067910,43,0,0,0,1,0,1,0,7,,,7,,7,3,4,4,4,4,3
12067920,40,1,0,0,0,0,0,0,10,,,,,,5,5,5,5,5,5
12068476,48,0,0,0,0,0,1,0,9,,,,,10,5,5,5,5,5,4
12068639,30,0,0,0,0,0,0,1,,,,,,,5,5,5,5,5,5
12068892,33,0,0,0,1,0,0,0,,,,9,,,5,4,3,4,5,3
12068996,60,0,0,0,1,1,1,0,8,,,9,7,8,5,5,5,5,5,3
12069004,40,1,0,0,1,0,0,0,10,,,5,,,4,5,5,3,5,3
12069472,57,1,0,0,1,0,1,0,10,,,10,,10,5,4,5,5,5,3
12069989,35,0,1,0,1,0,1,0,5,3,,0,,7,4,2,3,3,5,3
12070753,27,0,1,0,0,0,1,0,5,5,,,,5,3,3,2,1,2,1
12070826,23,0,1,0,0,0,0,0,,5,,,,,3,3,3,3,3,3
12074766,28,1,0,0,0,0,0,0,7,,,,,,3,4,4,4,3,3
12076093,57,0,0,1,0,0,1,0,9,,9,,,9,5,5,5,5,5,5
12077004,38,1,0,0,0,0,0,0,10,,,,,,5,5,4,4,5,5
12077796,38,1,0,0,0,0,0,0,10,,,,,,5,5,5,5,4,4
12079162,39,1,1,0,1,0,1,0,2,5,,7,,5,4,3,3,2,4,4
12079364,43,1,0,0,0,0,1,0,9,,,,,9,4,4,5,4,5,3
12081443,42,1,0,0,0,0,1,0,8,,,,,8,5,5,4,4,5,3
12081654,37,0,0,0,1,1,0,0,,,,9,8,,3,3,4,4,3,3
12083329,50,1,0,0,1,0,0,0,10,,,10,,,5,5,5,5,5,5
12084204,49,0,0,0,0,0,1,0,10,,,,,10,5,5,5,5,5,4
12085520,56,0,0,0,1,0,1,0,9,,,9,,9,5,5,5,4,5,5
12093377,49,1,0,0,0,0,1,0,10,,,,,10,5,5,5,5,5,4
12093538,45,1,0,0,0,1,0,0,10,,,,7,,5,5,5,4,4,5
12096648,34,1,0,0,0,0,0,0,9,,,,,,5,4,4,4,4,4
12099916,30,1,0,0,0,0,0,0,8,,,,,,5,4,3,3,5,2
12169323,58,0,1,0,0,0,1,0,10,10,,,,10,4,5,5,5,5,4
12169508,54,0,1,0,0,0,1,0,9,9,,,,9,4,5,5,4,5,4
12169554,25,1,0,0,0,0,0,0,6,,,,,,3,3,4,3,3,3
12169593,50,0,0,0,0,0,1,0,10,,,,,10,5,5,5,5,5,5
12169606,25,1,0,0,0,0,1,0,5,,,,,5,3,3,3,3,2,1
12169609,31,0,1,0,1,1,0,0,,7,,3,3,,4,3,1,4,4,2
12169654,40,0,0,0,1,1,0,0,,,,10,5,,4,5,5,4,4,3
12169857,40,1,0,0,0,0,0,0,10,,,,,,5,5,5,5,5,5
12170843,35,0,0,0,0,0,1,0,7,,,,,7,3,4,4,3,3,4
12170889,36,1,0,0,0,0,0,0,9,,,,,,3,5,5,5,5,4
12171142,27,0,0,0,1,1,0,0,,,,6,6,,3,2,2,2,3,3
12171401,27,1,0,0,0,0,0,0,7,,,,,,3,4,3,4,4,2
12174480,47,1,1,0,0,0,0,0,10,10,,,,,5,5,5,4,5,3
12176130,36,1,0,0,0,0,0,0,9,,,,,,4,4,5,4,5,5
12197561,42,1,0,0,0,0,1,0,9,,,,,9,4,4,4,4,4,4
12204601,28,0,0,0,0,0,1,0,5,,,,,5,3,3,3,3,3,3
12232877,18,0,0,0,0,0,0,1,,,,,,,3,3,3,3,3,3
12244447,50,1,0,0,0,0,1,0,10,,,,,10,5,5,5,5,5,5
12253235,52,0,0,0,1,0,1,0,9,,,9,,8,5,5,4,3,5,4
